provider_ccn,peer_definition,peer_count,peer_ccns
465189,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465191"
465190,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465192"
465191,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189"
465164,Same state + same bed-size band fallback,20,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465173,465174,465175,465176,465177,465183,465189,465191"
465122,Same state + same rural/urban + same bed-size band,8,"465059,465084,465085,465098,465102,465147,465153,465157"
465170,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465171,465174,465176,465177,465183,465189,465191"
465159,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465166,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465172,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465178,465180,465181,465184"
465150,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465160,465179,465182,465185,465188,465190,465192"
465072,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465184,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181"
465057,Same state + same bed-size band fallback,30,"465003,465006,465055,465066,465069,465075,465078,465089,465092,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465143,465146,465156,465163,465172,465178,465180,465181,465184"
465158,Same state + same rural/urban + same bed-size band,17,"465088,465155,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465006,Same state + same rural/urban + same bed-size band,27,"465003,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465102,Same state + same rural/urban + same bed-size band,8,"465059,465084,465085,465098,465122,465147,465153,465157"
465137,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465111,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465117,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465049,Same state + same rural/urban + same bed-size band,32,"465009,465020,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465078,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465090,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465152,Same state + same rural/urban + same bed-size band,8,"465067,465079,465086,465094,465095,465119,465149,465186"
465149,Same state + same rural/urban + same bed-size band,8,"465067,465079,465086,465094,465095,465119,465152,465186"
465100,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465143,Same state + same bed-size band fallback,30,"465003,465006,465055,465057,465066,465069,465075,465078,465089,465092,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465181,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465184"
465179,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465182,465185,465188,465190,465192"
465134,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465083,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465009,Same state + same rural/urban + same bed-size band,32,"465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465142,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465065,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465055,Same state + same rural/urban + same bed-size band,27,"465003,465006,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465110,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465174,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465176,465177,465183,465189,465191"
465128,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465104,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465108,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465171,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465174,465176,465177,465183,465189,465191"
465112,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465139,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465146,465156,465163,465172,465178,465180,465181,465184"
465186,Same state + same rural/urban + same bed-size band,8,"465067,465079,465086,465094,465095,465119,465149,465152"
465192,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190"
465124,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465157,Same state + same rural/urban + same bed-size band,8,"465059,465084,465085,465098,465102,465122,465147,465153"
465185,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465188,465190,465192"
465088,Same state + same rural/urban + same bed-size band,17,"465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465175,Same state + same bed-size band fallback,20,"465088,465155,465158,465159,465162,465164,465165,465166,465167,465168,465169,465170,465171,465173,465174,465176,465177,465183,465189,465191"
465086,Same state + same rural/urban + same bed-size band,8,"465067,465079,465094,465095,465119,465149,465152,465186"
465165,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465109,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465085,Same state + same rural/urban + same bed-size band,8,"465059,465084,465098,465102,465122,465147,465153,465157"
465129,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465155,Same state + same rural/urban + same bed-size band,17,"465088,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465188,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465190,465192"
465098,Same state + same rural/urban + same bed-size band,8,"465059,465084,465085,465102,465122,465147,465153,465157"
465160,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465179,465182,465185,465188,465190,465192"
465119,Same state + same rural/urban + same bed-size band,8,"465067,465079,465086,465094,465095,465149,465152,465186"
465067,Same state + same rural/urban + same bed-size band,8,"465079,465086,465094,465095,465119,465149,465152,465186"
465125,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465116,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465168,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465075,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465147,Same state + same rural/urban + same bed-size band,8,"465059,465084,465085,465098,465102,465122,465153,465157"
465089,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465064,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465097,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465156,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465163,465172,465178,465180,465181,465184"
465093,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465096,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465074,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465094,Same state + same rural/urban + same bed-size band,8,"465067,465079,465086,465095,465119,465149,465152,465186"
